zip,totkbtu,avgkbtu,Total annual customers-Elec,Avg annual customers-Elec,Total annual customers-GAS,Avg annual customers- Gas,Actual Minm Customer Count
94804,738654015.4,51807.79927,171091,14257.58333,162615,13551.25,14257.58333
94805,278523638.8,55494.77253,60227,5018.916667,59014,4917.833333,5018.916667
94806,1004508198,51043.59623,236153,19679.41667,220494,18374.5,19679.41667
94901,924842574.3,62491.8262,177593,14799.41667,147304,12275.33333,14799.41667
94903,765392400.9,66786.71066,137523,11460.25,119271,9939.25,11460.25
94904,292847372.6,82432.23175,42631,3552.583333,38114,3176.166667,3552.583333
94920,477627106.3,87251.10787,65690,5474.166667,58961,4913.416667,5474.166667
94922,6163491.392,36488.35555,2027,168.9166667,,0,168.9166667
94923,25933056.13,19820.18174,15701,1308.416667,,0,1308.416667
94924,5823840.44,19736.25679,3541,295.0833333,,0,295.0833333
94925,253653346.7,68011.17553,44755,3729.583333,43585,3632.083333,3729.583333
94928,858091756.5,57484.91896,179127,14927.25,153655,12804.58333,14927.25
94929,7247285.896,19382.08842,4487,373.9166667,,0,373.9166667
94930,23316542.76,71068.96447,2785,232.0833333,3937,328.0833333,328.0833333
94931,201633195.8,58083.83584,41657,3471.416667,37017,3084.75,3471.416667
94933,6181080.252,24334.96162,3048,254,,0,254
94937,5911371.888,17689.89094,4010,334.1666667,,0,334.1666667
94938,0,0,0,0,,0,0
94939,277799901.2,62512.40113,53327,4443.916667,44460,3705,4443.916667
94940,0,0,0,0,,0,0
94941,886103916.3,73330.20927,145005,12083.75,130510,10875.83333,12083.75
94945,455725489.4,68017.0378,80402,6700.166667,75038,6253.166667,6700.166667
94946,5190600.536,29917.00597,2082,173.5,,0,173.5
94947,616656748.6,67424.88367,109750,9145.833333,100272,8356,9145.833333
94949,426820246.3,66462.19967,77064,6422,69038,5753.166667,6422
94951,107333802.6,70676.34062,18224,1518.666667,14301,1191.75,1518.666667
94952,777217456.2,62257.91673,149806,12483.83333,129333,10777.75,12483.83333
94954,820946494.8,61698.62614,159669,13305.75,150035,12502.91667,13305.75
94956,1379126.988,19608.44059,844,70.33333333,,0,70.33333333
94957,113302682.5,147545.5442,9215,767.9166667,9072,756,767.9166667
94960,433266757.7,76693.43127,67792,5649.333333,64276,5356.333333,5649.333333
94963,1454303.584,28656.22826,609,50.75,,0,50.75
94964,0,0,0,0,0,0,0
94965,293111619.8,52168.24286,67423,5618.583333,47980,3998.333333,5618.583333
94970,12731506.09,21084.47048,7246,603.8333333,,0,603.8333333
94971,4476837.432,20879.14854,2573,214.4166667,,0,214.4166667
94972,0,0,0,0,,0,0
94973,9422797.568,28148.76047,4017,334.75,,0,334.75
95002,28569603.54,68063.37948,5037,419.75,4935,411.25,419.75
